"Name","huc_proportion_within_quartile","contribution_to_total_year","year","quartile","quartile_cpue_proportion"
"North Fork Kuskokwim River",0.00471162455358575,0.000321225559860119,2017,4,0.0681772403991001
"Middle Fork Kuskokwim River",0,0,2017,4,0.0681772403991001
"Kuskokwim Delta",0.286782871564914,0.0195520647770254,2017,4,0.0681772403991001
"South Fork Kuskokwim River",0,0,2017,4,0.0681772403991001
"Aniak",0.309861521242277,0.0211255034241656,2017,4,0.0681772403991001
"Holitna River",0.0482309384824353,0.00225655814024398,2018,1,0.0467865277194589
"Takotna River",0,0,2018,1,0.0467865277194589
"Stony River",0.646759577701883,0.0302596349099747,2018,1,0.0467865277194589
"North Fork Kuskokwim River",0.0165653983184871,0.000775037467611775,2018,1,0.0467865277194589
"Middle Fork Kuskokwim River",0,0,2018,1,0.0467865277194589
"Kuskokwim Delta",0.139453902172973,0.00652456385960253,2018,1,0.0467865277194589
"South Fork Kuskokwim River",0,0,2018,1,0.0467865277194589
"Aniak",0.148990183324221,0.00697073334202594,2018,1,0.0467865277194589
"Holitna River",0.194873313087102,0.0650434939339959,2018,2,0.333773223760627
"Takotna River",0.0114201431263418,0.00381173798708685,2018,2,0.333773223760627
"Stony River",0.495471818571259,0.165375226167069,2018,2,0.333773223760627
"North Fork Kuskokwim River",0.0107417386324701,0.00358530473215362,2018,2,0.333773223760627
"Middle Fork Kuskokwim River",0,0,2018,2,0.333773223760627
"Kuskokwim Delta",0.195471053208973,0.0652430035814439,2018,2,0.333773223760627
"South Fork Kuskokwim River",0,0,2018,2,0.333773223760627
"Aniak",0.0920219333738542,0.0307144573588769,2018,2,0.333773223760627
"Holitna River",0.266699542706647,0.157604902112517,2018,3,0.590945528113907
"Takotna River",0.0192384946964277,0.0113689024084971,2018,3,0.590945528113907
"Stony River",0.229505102366924,0.135625013923058,2018,3,0.590945528113907
"North Fork Kuskokwim River",0.00543474571204355,0.00321163867496837,2018,3,0.590945528113907
"Middle Fork Kuskokwim River",0,0,2018,3,0.590945528113907
"Kuskokwim Delta",0.296928708557384,0.175468692490624,2018,3,0.590945528113907
"South Fork Kuskokwim River",0,0,2018,3,0.590945528113907
"Aniak",0.182193405960573,0.107666378504242,2018,3,0.590945528113907
"Holitna River",0.0945390593229272,0.00263663921385341,2018,4,0.0278894166362198
"Takotna River",0.038664151434613,0.00107832062824582,2018,4,0.0278894166362198
"Stony River",0.0947266757175071,0.00264187172564964,2018,4,0.0278894166362198
"North Fork Kuskokwim River",0,0,2018,4,0.0278894166362198
"Middle Fork Kuskokwim River",0,0,2018,4,0.0278894166362198
"Kuskokwim Delta",0.465118290548692,0.0129718777902388,2018,4,0.0278894166362198
"South Fork Kuskokwim River",0,0,2018,4,0.0278894166362198
"Aniak",0.30695182297626,0.00856070727823209,2018,4,0.0278894166362198
"Holitna River",0.138570656885403,0.0323144450212291,2019,1,0.233198324577136
"Takotna River",0,0,2019,1,0.233198324577136
"Stony River",0.622495278576234,0.145164856021155,2019,1,0.233198324577136
"North Fork Kuskokwim River",0.00259248319433748,0.000604562737413881,2019,1,0.233198324577136
"Middle Fork Kuskokwim River",0,0,2019,1,0.233198324577136
"Kuskokwim Delta",0.173502236693533,0.0404604309073174,2019,1,0.233198324577136
"South Fork Kuskokwim River",0,0,2019,1,0.233198324577136
"Aniak",0.0628393446504932,0.0146540298900202,2019,1,0.233198324577136
"Holitna River",0.195162683274555,0.0422573153887415,2019,2,0.216523541692107
"Takotna River",0,0,2019,2,0.216523541692107
"Stony River",0.52880235578064,0.114498158928754,2019,2,0.216523541692107
"North Fork Kuskokwim River",0.0100336111578763,0.00217251302386482,2019,2,0.216523541692107
"Middle Fork Kuskokwim River",0,0,2019,2,0.216523541692107
"Kuskokwim Delta",0.176078071058972,0.0381250475600031,2019,2,0.216523541692107
"South Fork Kuskokwim River",0,0,2019,2,0.216523541692107
"Aniak",0.0899232787279573,0.0194705067907438,2019,2,0.216523541692107
"Holitna River",0.3937725005106,0.12952435250844,2019,3,0.328931939991968
"Takotna River",0.0169401582440361,0.00557215911498173,2019,3,0.328931939991968
"Stony River",0.230221196062034,0.0757271046479561,2019,3,0.328931939991968
"North Fork Kuskokwim River",0,0,2019,3,0.328931939991968
"Middle Fork Kuskokwim River",0,0,2019,3,0.328931939991968
"Kuskokwim Delta",0.182354522837726,0.0599822269633229,2019,3,0.328931939991968
"South Fork Kuskokwim River",0,0,2019,3,0.328931939991968
"Aniak",0.176711622345603,0.0581260967572673,2019,3,0.328931939991968
"Holitna River",0.367210932408799,0.0809555133307432,2019,4,0.220460520605141
"Takotna River",0.00985141230780328,0.00217184748607421,2019,4,0.220460520605141
"Stony River",0.217220750434976,0.0478885997271343,2019,4,0.220460520605141
"North Fork Kuskokwim River",0.00336325711625566,0.00074146541477867,2019,4,0.220460520605141
"Middle Fork Kuskokwim River",0,0,2019,4,0.220460520605141
"Kuskokwim Delta",0.111948324067695,0.0246801858048372,2019,4,0.220460520605141
"South Fork Kuskokwim River",0,0,2019,4,0.220460520605141
"Aniak",0.290405323664471,0.0640229088415738,2019,4,0.220460520605141
"Holitna River",0.0897767178063772,0.0143038924670846,2020,1,0.159327416022649
"Takotna River",0.00702215835990106,0.00111882234638488,2020,1,0.159327416022649
"Stony River",0.624850651509989,0.0995558397051554,2020,1,0.159327416022649
"North Fork Kuskokwim River",0.00776908783977614,0.00123782869036452,2020,1,0.159327416022649
"Middle Fork Kuskokwim River",0,0,2020,1,0.159327416022649
"Kuskokwim Delta",0.0896385397151571,0.0142818769088596,2020,1,0.159327416022649
"South Fork Kuskokwim River",0,0,2020,1,0.159327416022649
"Aniak",0.1809428447688,0.0288291559048002,2020,1,0.159327416022649
"Holitna River",0.229447828934963,0.0461439908734044,2020,2,0.201108858112072
"Takotna River",0,0,2020,2,0.201108858112072
"Stony River",0.467181854802392,0.0939544093499889,2020,2,0.201108858112072
"North Fork Kuskokwim River",0.0030409817547468,0.000611568368236774,2020,2,0.201108858112072
"Middle Fork Kuskokwim River",0,0,2020,2,0.201108858112072
"Kuskokwim Delta",0.255189441453701,0.0513208571730113,2020,2,0.201108858112072
"South Fork Kuskokwim River",0,0,2020,2,0.201108858112072
"Aniak",0.0451398930541983,0.00907803234743088,2020,2,0.201108858112072
"Holitna River",0.26580228183913,0.127478420482244,2020,3,0.479598668605096
"Takotna River",0.032379446353009,0.0155291393610733,2020,3,0.479598668605096
"Stony River",0.383348841383718,0.183853593938937,2020,3,0.479598668605096
"North Fork Kuskokwim River",0.00302542072687434,0.00145098775257919,2020,3,0.479598668605096
"Middle Fork Kuskokwim River",0,0,2020,3,0.479598668605096
"Kuskokwim Delta",0.231509850982,0.111031816299932,2020,3,0.479598668605096
"South Fork Kuskokwim River",0,0,2020,3,0.479598668605096
"Aniak",0.083934158715268,0.0402547107703314,2020,3,0.479598668605096
"Holitna River",0.382101070309896,0.0609193773528546,2020,4,0.159432626826842
"Takotna River",0.0239933248524155,0.00382531880753036,2020,4,0.159432626826842
"Stony River",0.324696583427128,0.0517672292174879,2020,4,0.159432626826842
"North Fork Kuskokwim River",0,0,2020,4,0.159432626826842
"Middle Fork Kuskokwim River",0,0,2020,4,0.159432626826842
"Kuskokwim Delta",0.0905001249060416,0.0144286726419275,2020,4,0.159432626826842
"South Fork Kuskokwim River",0,0,2020,4,0.159432626826842
"Aniak",0.178708896504519,0.0284920288070418,2020,4,0.159432626826842
"Holitna River",0.0899348698745205,0.0131765153526597,2021,1,0.146511752016142
"Takotna River",0.0204908002381026,0.00300214304309718,2021,1,0.146511752016142
"Stony River",0.764714693988445,0.112039689608735,2021,1,0.146511752016142
"North Fork Kuskokwim River",0.0223302868765692,0.0032716494533092,2021,1,0.146511752016142
"Middle Fork Kuskokwim River",0,0,2021,1,0.146511752016142
"Kuskokwim Delta",0.0693923388814282,0.0101667931460159,2021,1,0.146511752016142
"South Fork Kuskokwim River",0,0,2021,1,0.146511752016142
"Aniak",0.033137010140935,0.00485496141232504,2021,1,0.146511752016142
"Holitna River",0.201004945952879,0.0546019710150082,2021,2,0.271644912796366
"Takotna River",0.0116777344834992,0.00317219716542926,2021,2,0.271644912796366
"Stony River",0.440365016625245,0.119622916539735,2021,2,0.271644912796366
"North Fork Kuskokwim River",0.00314555798462904,0.00085447482443047,2021,2,0.271644912796366
"Middle Fork Kuskokwim River",0,0,2021,2,0.271644912796366
"Kuskokwim Delta",0.19266834536091,0.0523373758741847,2021,2,0.271644912796366
"South Fork Kuskokwim River",0,0,2021,2,0.271644912796366
"Aniak",0.151138399592837,0.0410559773775785,2021,2,0.271644912796366
"Holitna River",0.368634142737065,0.169979327659726,2021,3,0.461105763013837
"Takotna River",0.0146033708371878,0.00673369845245548,2021,3,0.461105763013837
"Stony River",0.216223228327195,0.0997017766791262,2021,3,0.461105763013837
"North Fork Kuskokwim River",0,0,2021,3,0.461105763013837
"Middle Fork Kuskokwim River",0,0,2021,3,0.461105763013837
"Kuskokwim Delta",0.263971190183898,0.121718637063417,2021,3,0.461105763013837
"South Fork Kuskokwim River",0,0,2021,3,0.461105763013837
"Aniak",0.136568067914654,0.0629723231591122,2021,3,0.461105763013837
"Holitna River",0.305150281292865,0.0362908255266795,2021,4,0.118927714478657
"Takotna River",0,0,2021,4,0.118927714478657
"Stony River",0.255996513304825,0.0304450802418478,2021,4,0.118927714478657
"North Fork Kuskokwim River",0,0,2021,4,0.118927714478657
"Middle Fork Kuskokwim River",0,0,2021,4,0.118927714478657
"Kuskokwim Delta",0.23700250500154,0.0281861662455495,2021,4,0.118927714478657
"South Fork Kuskokwim River",0,0,2021,4,0.118927714478657
"Aniak",0.20185070040077,0.0240056424645796,2021,4,0.118927714478657
